par_id,art_id,keyword,country_code,text,label,reworded
33,@@8301323,disabled,pk,Arshad said that besides learning many new aspects of sports leadership he learnt how fast-developing nations were using sports as a tool of development and in this effort the disabled and the underprivileged were not left behind at any stage .,1,"Arshad mentioned that in addition to discovering various new facets of sports leadership, he learned how rapidly developing countries are utilizing sports as a means of advancement, ensuring that individuals with disabilities and those from disadvantaged backgrounds are included at every step of the process."
34,@@24150149,disabled,ng,Fast food employee who fed disabled man becomes internet sensation,1,Fast food worker who assisted disabled man becomes an internet star.
42,@@4591694,hopeless,jm,Vanessa had feelings of hopelessness in her final days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the State . Her letter was conveyed to this court official by an investigator from the Office of the Children 's Advocate .,1,"In her last days, Vanessa experienced a deep sense of hopelessness that intensified when her plea for assistance went unanswered by the resident magistrate who had placed her under the State's care. An investigator from the Office of the Children’s Advocate delivered her letter to this court official."
77,@@22454828,homeless,nz,"In September , Major Nottle set off on foot from Melbourne to Canberra to plead for a national solution to the homeless problem .",1,"In September, Major Nottle embarked on a journey on foot from Melbourne to Canberra to advocate for a national approach to addressing homelessness."
83,@@4672144,homeless,pk,"The demographics of Pakistan and India are very similar . Poverty is a widespread issue . According to the FAO , 40 percent of children in Pakistan are malnourished and underweight due to lack of access to adequate food . And this is not because there is n't enough ; Pakistan is the 8th largest food producing country , however , 50 percent of the population is food insecure . With the massive income inequality that persists , RHA is a brilliant movement . We collect leftover or extra food from restaurants and distribute it to the homeless and hungry in the locality .",1,"The demographics of Pakistan and India are quite alike, and poverty remains a significant challenge. The FAO reports that 40 percent of children in Pakistan suffer from malnutrition and are underweight due to insufficient access to proper food. This situation is not due to a lack of food, as Pakistan ranks as the 8th largest food producer; however, 50 percent of the population still experiences food insecurity. Given the severe income inequality that exists, the RHA initiative is commendable. We gather surplus or leftover food from restaurants and distribute it to the homeless and those in need within the community."
118,@@24885862,in-need,za,"This is the rhetoric of what anthropologist Laura Agust ? n calls the "" rescue industry "" - a term used to describe people and institutions who conceptualize all sex workers as victims in need of saving . Catherine MacKinnon has argued , for example , that "" in prostitution , women have sex with men they would never otherwise have sex with .",1,"This reflects the discourse that anthropologist Laura Agustín refers to as the ""rescue industry""—a phrase that describes individuals and organizations that view all sex workers as victims in need of rescue. For instance, Catherine MacKinnon has contended that ""in prostitution, women engage in sexual acts with men they would not otherwise choose to be with."""
152,@@18323373,hopeless,jm,"Desperation and fear of a dismal future filled with difficulty and suffering amplify their aggression and heartless tendencies . It finally comes down to them against the rest of ' society ' that they perceive as a collection of faceless , nameless , heartless , careless haves who continually exploit , marginalise and despise them and sentence them to a life of hopelessness .",1,"Desperation and the fear of a bleak future filled with challenges and pain intensify their aggression and ruthless behavior. Ultimately, it becomes a battle between them and the rest of 'society,' which they view as a faceless, nameless group of indifferent and unfeeling individuals who continuously exploit, marginalize, and look down upon them, condemning them to a life devoid of hope."
155,@@4755947,homeless,us,"Nona O'Gara , a supervisor at the center , said residents are down , but not out . "" We tell them they are never homeless when they are here , because they always have a home . """,1,"Nona O'Gara, a supervisor at the center, mentioned that while residents may feel down, they are not defeated. ""We remind them that they are never truly homeless when they are here, as they always have a place to call home."""
171,@@18450304,women,bd,""" I am very excited to see the monetary results of having all of these businesses donate toward the cooperative . Since I am also a part of 16xOSU , I have further interest in where the money is going to be used and the difference it will make among the women in Uganda , "" Triplett said .",1,"""I am truly excited to witness the financial outcomes of all these businesses contributing to the cooperative. Being a part of 16xOSU, I am particularly interested in how the funds will be allocated and the positive changes they will bring to the women in Uganda,"" Triplett expressed."
179,@@15574765,women,ca,"Jenny Neal , regional director of the Grandmothers Advocacy Network for Saskatchewan and Manitoba , displays her orange scarf at the sculpture Prairie Wind at River Landing , Thursday , November 24 , 2016 , to promote 16 days of orange to raise awareness about violence against women.Greg Pender / The StarPhoenix",1,"Jenny Neal, the regional director of the Grandmothers Advocacy Network for Saskatchewan and Manitoba, showcased her orange scarf at the Prairie Wind sculpture at River Landing on Thursday, November 24, 2016. This was part of the initiative to promote 16 days of wearing orange to raise awareness about violence against women. Greg Pender / The StarPhoenix"
195,@@4478900,homeless,gb,Housing Minister Grant Shapps added : ' The plight of homeless people should be on our minds all year round - not just at Christmas .,1,"Housing Minister Grant Shapps stated, ""The challenges faced by homeless individuals should occupy our thoughts throughout the entire year, not just during the Christmas season."""
197,@@7384248,vulnerable,us,"It is understandable to want to protect one 's home and family from the conflict , but we must rally together as humans , understanding that we have a responsibility to help the world 's most vulnerable to survive and rebuild their lives . There are hundreds of thousands of refugees who want nothing more than a safe place for themselves and their families . They travel under incredibly dangerous circumstances to avoid having to live in places ravaged by war and terror . Their suffering is something that we should all understand . The countries neighboring Syria such as Jordan , Lebanon , Turkey and Iraq have already taken in millions of people and can take no more .",1,"It’s completely natural to want to safeguard one’s home and family from conflict, but we must unite as human beings, recognizing our duty to assist the world’s most vulnerable in surviving and rebuilding their lives. There are countless refugees seeking nothing more than safety for themselves and their families. They endure perilous journeys to escape living in war-torn and terror-stricken areas. Their pain is something we should all empathize with. Neighboring countries like Jordan, Lebanon, Turkey, and Iraq have already welcomed millions of people and are now at their limit."
206,@@25312066,refugee,hk,"Smyth told HKFP : "" The biggest challenge is the no work policy . I think that refugees who come here , or asylum seekers , they 're unable to work and they have kids here -- their kids are stateless . That 's really the cause of a lot of stress in the community . """,1,"Smyth expressed to HKFP, ""The primary challenge is the no-work policy. Refugees and asylum seekers who arrive here are unable to find employment, and many have children who are stateless. This situation is a significant source of stress within the community."""
228,@@4268545,vulnerable,gb,If these problems are not tackled there is every chance that another reporter will be back in another 20 years wondering how it is possible that vulnerable children are still being cursed with hunger and a horribly early death .,1,"If these issues are not addressed, there is a strong possibility that in 20 years another journalist will return to question how it is still possible for vulnerable children to suffer from hunger and face an untimely death."
238,@@21800857,hopeless,bd,""" This system appears designed to make Rohingyas ' lives as hopeless and humiliating as possible , "" Neistat added in the note , describing the military campaign as "" ethnic cleansing "" .",1,"""This system seems to be intentionally structured to render the lives of Rohingyas as bleak and degrading as possible,"" Neistat remarked in the note, referring to the military operation as ""ethnic cleansing."""
248,@@17606348,hopeless,ke,""" Clear evidence of outstanding miraculous occurrences began to arise . The lame began to walk , hopeless cancer patients were lifted from despair ...",1,"Remarkable evidence of extraordinary miracles began to surface. The disabled found the ability to walk, and cancer patients who had lost all hope were uplifted from their despair..."
266,@@70060527,in-need,us,""" As Briggs &amp; Stratton celebrates its 110th anniversary year , what better way to reaffirm our commitment to the Milwaukee community than by providing $1 million to kids in need of pediatric care , "" said Rick Carpenter , vice president corporate marketing . "" We are lucky to have one of the nation 's top pediatric hospitals right here within our community and Briggs &amp; Stratton firmly stands behind its commitment to extend its support into the future . """,1,"""As Briggs & Stratton marks its 110th anniversary, what better way to reaffirm our dedication to the Milwaukee community than by donating $1 million to children in need of pediatric care,"" stated Rick Carpenter, vice president of corporate marketing. ""We are fortunate to have one of the country’s leading pediatric hospitals right here in our community, and Briggs & Stratton is committed to continuing its support in the future."""
275,@@3520216,in-need,za,"The Portuguese superstar has raised money for various causes , including donating more than $83,000 to a 10-year-old fan in need of brain surgery . He is also a global spokesperson for organisations that tackle issues around childhood hunger , obesity and biodiversity , among others .",1,"The Portuguese superstar has contributed to numerous causes, including a donation of over $83,000 to assist a 10-year-old fan requiring brain surgery. He also serves as a global ambassador for organizations addressing issues such as childhood hunger, obesity, and biodiversity, among others."
